sample	query	model	description	bitscore	evalue
GCF_900089595.1	GA0070611_RS08110	PF13280.6	WYL domain	139.6	3.6e-43
GCF_900089595.1	GA0070611_RS20030	PF13280.6	WYL domain	150.5	1.5e-46
GCF_900089595.1	GA0070611_RS20250	PF13280.6	WYL domain	122.9	4.7e-38
GCF_900089595.1	GA0070611_RS08960	PF13280.6	WYL domain	105.6	9.8e-33
GCF_900089605.1	GA0070621_RS21240	PF13280.6	WYL domain	146.7	2.2e-45
GCF_900089605.1	GA0070621_RS11520	PF13280.6	WYL domain	135.8	5e-42
GCF_900089605.1	GA0070621_RS26380	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	171.5	7.9e-53
GCF_900089605.1	GA0070621_RS11045	PF13280.6	WYL domain	146.3	3e-45
GCF_900089605.1	GA0070621_RS09590	PF13280.6	WYL domain	122.8	4.9e-38
GCF_900089605.1	GA0070621_RS06810	PF13280.6	WYL domain	113.2	4.3e-35
GCF_900089605.1	GA0070621_RS06805	PF13280.6	WYL domain	110.6	2.8e-34
GCF_900089605.1	GA0070621_RS21385	PF13280.6	WYL domain	102.3	1e-31
GCF_900089605.1	GA0070621_RS16205	PF13280.6	WYL domain	60.5	6.7e-19
GCF_900090235.1	GA0070609_RS09655	PF13280.6	WYL domain	112.3	8.7e-35
GCF_900090235.1	GA0070609_RS17770	PF13280.6	WYL domain	130.9	1.7e-40
GCF_900090235.1	GA0070609_RS11265	PF13280.6	WYL domain	113.5	3.8e-35
GCF_900090235.1	GA0070609_RS08445	PF13280.6	WYL domain	103.3	4.9e-32
GCF_900090235.1	GA0070609_RS29980	PF13280.6	WYL domain	95.3	1.5e-29
GCF_900090235.1	GA0070609_RS11645	PF13280.6	WYL domain	136.0	4.4e-42
GCF_900090235.1	GA0070609_RS10305	PF13280.6	WYL domain	141.8	7.6e-44
GCF_900090235.1	GA0070609_RS28990	PF13280.6	WYL domain	106.0	7.2e-33
GCF_900090235.1	GA0070609_RS12575	PF13280.6	WYL domain	89.0	1.2e-27
GCF_900090235.1	GA0070609_RS22900	PF13280.6	WYL domain	120.8	2.1e-37
GCF_900090235.1	GA0070609_RS26050	PF13280.6	WYL domain	152.1	4.9e-47
GCF_900090265.1	GA0070623_RS04535	PF13280.6	WYL domain	87.5	3.5e-27
GCF_900090265.1	GA0070623_RS02415	PF13280.6	WYL domain	112.2	8.9e-35
GCF_900090265.1	GA0070623_RS21275	PF13280.6	WYL domain	137.2	1.8e-42
GCF_900090265.1	GA0070623_RS29565	PF01867.16	CRISPR associated protein Cas1	303.6	3.8e-93
GCF_900090265.1	GA0070623_RS29570	PF09827.9	CRISPR associated protein Cas2	65.9	9e-21
GCF_900090265.1	GA0070623_RS02420	PF13280.6	WYL domain	115.2	1.1e-35
GCF_900090265.1	GA0070623_RS29545	PF09704.10	CRISPR-associated protein (Cas_Cas5)	100.5	3.9e-31
GCF_900090265.1	GA0070623_RS29550	PF09709.10	CRISPR-associated protein (Cas_Csd1)	287.6	7e-88
GCF_900090265.1	GA0070623_RS29555	PF05107.12	CRISPR-associated protein Cas7	293.3	5.3e-90
GCF_900090265.1	GA0070623_RS29560	PF01930.17	Domain of unknown function DUF83	86.8	5.5e-27
GCF_900090275.1	GA0070619_RS07830	PF13280.6	WYL domain	125.4	8e-39
GCF_900090275.1	GA0070619_RS14780	PF13280.6	WYL domain	115.9	6.4e-36
GCF_900090275.1	GA0070619_RS11905	PF13280.6	WYL domain	107.8	2e-33
GCF_900090275.1	GA0070619_RS10600	PF13280.6	WYL domain	121.7	1.1e-37
GCF_900090275.1	GA0070619_RS10745	PF13280.6	WYL domain	141.6	8.3e-44
GCF_900090275.1	GA0070619_RS10450	PF13280.6	WYL domain	105.9	7.8e-33
GCF_900090275.1	GA0070619_RS25490	PF13280.6	WYL domain	149.3	3.6e-46
GCF_900090275.1	GA0070619_RS22790	PF13280.6	WYL domain	90.4	4.6e-28
GCF_900090275.1	GA0070619_RS31010	PF13280.6	WYL domain	118.6	9.7e-37
GCF_900090285.1	GA0070613_RS04460	PF13280.6	WYL domain	115.8	7e-36
GCF_900090285.1	GA0070613_RS11640	PF13280.6	WYL domain	153.9	1.4e-47
GCF_900090285.1	GA0070613_RS17020	PF13280.6	WYL domain	121.3	1.5e-37
GCF_900090285.1	GA0070613_RS26450	PF13280.6	WYL domain	112.5	7.5e-35
GCF_900090285.1	GA0070613_RS23955	PF13280.6	WYL domain	147.5	1.3e-45
GCF_900090285.1	GA0070613_RS25185	PF13280.6	WYL domain	141.0	1.3e-43
GCF_900090285.1	GA0070613_RS26455	PF13280.6	WYL domain	111.4	1.6e-34
GCF_900090295.1	GA0070614_RS26340	PF13280.6	WYL domain	125.2	9e-39
GCF_900090295.1	GA0070614_RS02670	PF09704.10	CRISPR-associated protein (Cas_Cas5)	165.1	6.9e-51
GCF_900090295.1	GA0070614_RS02685	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	280.4	1e-85
GCF_900090295.1	GA0070614_RS02680	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	94.0	3.7e-29
GCF_900090295.1	GA0070614_RS24785	PF13280.6	WYL domain	136.1	4e-42
GCF_900090295.1	GA0070614_RS23160	PF13280.6	WYL domain	104.2	2.5e-32
GCF_900090295.1	GA0070614_RS00910	PF13280.6	WYL domain	144.1	1.4e-44
GCF_900090295.1	GA0070614_RS21030	PF13280.6	WYL domain	101.2	2.2e-31
GCF_900090295.1	GA0070614_RS28185	PF13280.6	WYL domain	111.5	1.5e-34
GCF_900090295.1	GA0070614_RS02675	PF09344.10	CT1975-like protein	364.9	1.9e-111
GCF_900090295.1	GA0070614_RS13415	PF13280.6	WYL domain	145.8	4.3e-45
GCF_900090295.1	GA0070614_RS02665	PF08798.11	CRISPR associated protein	156.0	5.4e-48
GCF_900090295.1	GA0070614_RS21360	PF13280.6	WYL domain	98.1	2e-30
GCF_900090295.1	GA0070614_RS28180	PF13280.6	WYL domain	119.0	7.7e-37
GCF_900090295.1	GA0070614_RS02655	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	110.3	1.2e-34
GCF_900090305.1	GA0074704_RS14155	PF13280.6	WYL domain	121.1	1.7e-37
GCF_900090305.1	GA0074704_RS16595	PF13280.6	WYL domain	115.9	6.8e-36
GCF_900090305.1	GA0074704_RS00315	PF13280.6	WYL domain	146.7	2.2e-45
GCF_900090305.1	GA0074704_RS16600	PF13280.6	WYL domain	118.7	9.5e-37
GCF_900090305.1	GA0074704_RS17690	PF13280.6	WYL domain	137.7	1.3e-42
GCF_900091425.1	GA0070620_RS07765	PF13280.6	WYL domain	119.1	6.9e-37
GCF_900091425.1	GA0070620_RS05385	PF13280.6	WYL domain	143.0	3.1e-44
GCF_900091425.1	GA0070620_RS03710	PF13280.6	WYL domain	95.1	1.6e-29
GCF_900091425.1	GA0070620_RS09465	PF13280.6	WYL domain	104.4	2.2e-32
GCF_900091425.1	GA0070620_RS28815	PF13280.6	WYL domain	131.8	8.4e-41
GCF_900091425.1	GA0070620_RS07770	PF13280.6	WYL domain	109.5	6.3e-34
GCF_900091425.1	GA0070620_RS24560	PF13280.6	WYL domain	146.6	2.5e-45
GCF_900091445.1	GA0070610_RS17155	PF13280.6	WYL domain	123.9	2.3e-38
GCF_900091445.1	GA0070610_RS13900	PF13280.6	WYL domain	109.5	6.4e-34
GCF_900091445.1	GA0070610_RS00545	PF13280.6	WYL domain	148.9	4.7e-46
GCF_900091445.1	GA0070610_RS06345	PF13280.6	WYL domain	111.0	2.1e-34
GCF_900091445.1	GA0070610_RS13895	PF13280.6	WYL domain	114.9	1.4e-35
GCF_900091455.1	GA0070607_RS15170	PF13280.6	WYL domain	155.9	3.4e-48
GCF_900091455.1	GA0070607_RS01840	PF13280.6	WYL domain	126.4	4.1e-39
GCF_900091455.1	GA0070607_RS26400	PF13280.6	WYL domain	109.9	4.7e-34
GCF_900091455.1	GA0070607_RS28405	PF13280.6	WYL domain	136.3	3.7e-42
GCF_900091455.1	GA0070607_RS30590	PF13280.6	WYL domain	105.7	9.1e-33
GCF_900091455.1	GA0070607_RS30280	PF13280.6	WYL domain	145.5	5.4e-45
GCF_900091455.1	GA0070607_RS29215	PF13280.6	WYL domain	109.2	7.6e-34
GCF_900091455.1	GA0070607_RS29210	PF13280.6	WYL domain	112.6	6.8e-35
GCF_900091495.1	GA0070618_RS30190	PF13280.6	WYL domain	114.3	2e-35
GCF_900091495.1	GA0070618_RS27190	PF13280.6	WYL domain	81.8	2e-25
GCF_900091495.1	GA0070618_RS23455	PF13280.6	WYL domain	101.2	2.2e-31
GCF_900091495.1	GA0070618_RS13255	PF13280.6	WYL domain	143.7	1.9e-44
GCF_900091495.1	GA0070618_RS09355	PF13280.6	WYL domain	116.3	4.9e-36
GCF_900091495.1	GA0070618_RS18510	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	150.1	2.6e-46
GCF_900091505.1	GA0070612_RS08590	PF13280.6	WYL domain	153.8	1.5e-47
GCF_900091505.1	GA0070612_RS14030	PF13280.6	WYL domain	61.9	2.6e-19
GCF_900091505.1	GA0070612_RS22145	PF13280.6	WYL domain	108.8	1e-33
GCF_900091505.1	GA0070612_RS23385	PF13280.6	WYL domain	109.3	7.2e-34
GCF_900091505.1	GA0070612_RS23255	PF13280.6	WYL domain	144.5	1.1e-44
GCF_900091515.1	GA0074696_RS17515	PF13280.6	WYL domain	129.1	6e-40
GCF_900091515.1	GA0074696_RS18035	PF13280.6	WYL domain	139.0	5.3e-43
GCF_900091515.1	GA0074696_RS05515	PF13280.6	WYL domain	147.6	1.2e-45
GCF_900091515.1	GA0074696_RS18680	PF13280.6	WYL domain	115.8	7e-36
GCF_900091515.1	GA0074696_RS18685	PF13280.6	WYL domain	113.3	4.1e-35
GCF_900091515.1	GA0074696_RS21315	PF13280.6	WYL domain	129.0	6.3e-40
GCF_900091515.1	GA0074696_RS17820	PF13280.6	WYL domain	121.2	1.6e-37
GCF_900091545.1	GA0074695_RS20715	PF01930.17	Domain of unknown function DUF83	85.6	1.3e-26
GCF_900091545.1	GA0074695_RS20725	PF09709.10	CRISPR-associated protein (Cas_Csd1)	291.2	5.4e-89
GCF_900091545.1	GA0074695_RS20710	PF01867.16	CRISPR associated protein Cas1	299.1	9.3e-92
GCF_900091545.1	GA0074695_RS23480	PF13280.6	WYL domain	113.2	4.6e-35
GCF_900091545.1	GA0074695_RS27130	PF13280.6	WYL domain	118.5	1e-36
GCF_900091545.1	GA0074695_RS20705	PF09827.9	CRISPR associated protein Cas2	69.8	5.5e-22
GCF_900091545.1	GA0074695_RS19925	PF13280.6	WYL domain	118.7	9.1e-37
GCF_900091545.1	GA0074695_RS18165	PF13280.6	WYL domain	149.6	2.9e-46
GCF_900091545.1	GA0074695_RS17545	PF13280.6	WYL domain	139.8	3.1e-43
GCF_900091545.1	GA0074695_RS04235	PF13280.6	WYL domain	143.5	2.1e-44
GCF_900091545.1	GA0074695_RS22470	PF13280.6	WYL domain	115.5	8.9e-36
GCF_900091545.1	GA0074695_RS22465	PF13280.6	WYL domain	116.8	3.4e-36
GCF_900091545.1	GA0074695_RS20730	PF09704.10	CRISPR-associated protein (Cas_Cas5)	94.1	3.8e-29
GCF_900091545.1	GA0074695_RS12520	PF13280.6	WYL domain	104.9	1.6e-32
GCF_900091545.1	GA0074695_RS20720	PF05107.12	CRISPR-associated protein Cas7	296.2	6.7e-91
GCF_900092755.1	PFR_RS04855	PF13280.6	WYL domain	85.5	1.5e-26
GCF_900092755.1	PFR_RS04850	PF13280.6	WYL domain	81.4	2.6e-25
GCF_900093775.1	BGLY_RS12005	PF13280.6	WYL domain	90.9	3.1e-28
GCF_900093775.1	BGLY_RS02805	PF13280.6	WYL domain	129.8	3.7e-40
GCF_900094145.1	LP2241_RS05155	PF13280.6	WYL domain	99.0	1.1e-30
GCF_900094325.1	BFP94_RS03055	PF13280.6	WYL domain	138.7	6.5e-43
GCF_900094325.1	BFP94_RS02355	PF09704.10	CRISPR-associated protein (Cas_Cas5)	158.8	6e-49
GCF_900094325.1	BFP94_RS02345	PF05107.12	CRISPR-associated protein Cas7	367.6	1.1e-112
GCF_900094325.1	BFP94_RS02340	PF01930.17	Domain of unknown function DUF83	118.9	7.3e-37
GCF_900094325.1	BFP94_RS02335	PF01867.16	CRISPR associated protein Cas1	349.2	4.8e-107
GCF_900094325.1	BFP94_RS02330	PF09827.9	CRISPR associated protein Cas2	82.3	7.1e-26
GCF_900094325.1	BFP94_RS02350	PF09709.10	CRISPR-associated protein (Cas_Csd1)	591.6	5.6e-180
GCF_900094615.1	BQ1177_RS02880	PF13280.6	WYL domain	84.8	2.4e-26
GCF_900095075.1	CR467_RS04635	PF13280.6	WYL domain	84.7	2.6e-26
GCF_900095075.1	CR467_RS09725	PF01930.17	Domain of unknown function DUF83	81.3	2.8e-25
GCF_900095075.1	CR467_RS09705	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	115.4	8.7e-36
GCF_900095075.1	CR467_RS09725	PF01867.16	CRISPR associated protein Cas1	241.7	2.9e-74
GCF_900095075.1	CR467_RS04630	PF13280.6	WYL domain	81.6	2.3e-25
GCF_900095135.1	PSM36_RS15640	PF13280.6	WYL domain	90.0	6.1e-28
GCF_900095135.1	PSM36_RS08640	PF01867.16	CRISPR associated protein Cas1	307.8	2e-94
GCF_900095135.1	PSM36_RS05930	PF09827.9	CRISPR associated protein Cas2	67.1	3.9e-21
GCF_900095135.1	PSM36_RS08610	PF01881.16	CRISPR associated protein Cas6	113.7	3.5e-35
GCF_900095135.1	PSM36_RS08620	PF05107.12	CRISPR-associated protein Cas7	148.9	6.2e-46
GCF_900095135.1	PSM36_RS08635	PF01930.17	Domain of unknown function DUF83	163.1	1.9e-50
GCF_900095135.1	PSM36_RS08645	PF09827.9	CRISPR associated protein Cas2	74.1	2.5e-23
GCF_900095135.1	PSM36_RS05915	PF01867.16	CRISPR associated protein Cas1	98.5	1.2e-30
GCF_900095495.1	BACOV975_RS22645	PF13280.6	WYL domain	90.0	6.1e-28
GCF_900095795.1	ING2E5A_RS03960	PF17955.1	Cas6b N-terminal domain	108.5	5.2e-34
GCF_900095795.1	ING2E5A_RS03965	PF01867.16	CRISPR associated protein Cas1	237.0	7.8e-73
GCF_900095795.1	ING2E5A_RS03940	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	310.4	1e-94
GCF_900095795.1	ING2E5A_RS03945	PF05107.12	CRISPR-associated protein Cas7	201.3	6.5e-62
GCF_900095795.1	ING2E5A_RS03960	PF17262.2	Cas6b C-terminal domain	128.0	5.7e-40
GCF_900095795.1	ING2E5A_RS03975	PF01930.17	Domain of unknown function DUF83	72.0	1.9e-22
GCF_900095795.1	ING2E5A_RS03970	PF09827.9	CRISPR associated protein Cas2	74.2	2.3e-23
GCF_900095795.1	ING2E5A_RS01075	PF13280.6	WYL domain	123.4	3.3e-38
GCF_900095795.1	ING2E5A_RS10475	PF13280.6	WYL domain	126.6	3.5e-39
GCF_900095795.1	ING2E5A_RS09255	PF13280.6	WYL domain	83.2	7.2e-26
GCF_900097105.1	PYTT_RS13040	PF01867.16	CRISPR associated protein Cas1	96.0	7.3e-30
GCF_900097105.1	PYTT_RS11670	PF05107.12	CRISPR-associated protein Cas7	332.5	5.9e-102
GCF_900097105.1	PYTT_RS11660	PF09704.10	CRISPR-associated protein (Cas_Cas5)	129.5	5.5e-40
GCF_900097105.1	PYTT_RS11665	PF09709.10	CRISPR-associated protein (Cas_Csd1)	476.3	4.6e-145
GCF_900097105.1	PYTT_RS11675	PF01930.17	Domain of unknown function DUF83	119.7	4.3e-37
GCF_900097105.1	PYTT_RS07605	PF09827.9	CRISPR associated protein Cas2	66.4	6.6e-21
GCF_900097105.1	PYTT_RS11685	PF09827.9	CRISPR associated protein Cas2	80.5	2.6e-25
GCF_900097105.1	PYTT_RS11680	PF01867.16	CRISPR associated protein Cas1	324.3	1.9e-99
GCF_900097245.1	CR246_RS09150	PF01930.17	Domain of unknown function DUF83	81.3	2.8e-25
GCF_900097245.1	CR246_RS09150	PF01867.16	CRISPR associated protein Cas1	241.6	2.9e-74
GCF_900097245.1	CR246_RS09130	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	115.3	9.2e-36
GCF_900097245.1	CR246_RS04310	PF13280.6	WYL domain	84.6	2.7e-26
GCF_900097245.1	CR246_RS04305	PF13280.6	WYL domain	81.4	2.6e-25
GCF_900099705.1	BLQ67_RS15925	PF13280.6	WYL domain	77.1	5.6e-24
GCF_900099705.1	BLQ67_RS15920	PF13280.6	WYL domain	85.2	1.8e-26
GCF_900099705.1	BLQ67_RS10475	PF13280.6	WYL domain	86.6	6.6e-27
GCF_900100325.1	BLQ65_RS03095	PF13280.6	WYL domain	117.0	3.1e-36
GCF_900100325.1	BLQ65_RS11805	PF13280.6	WYL domain	118.1	1.4e-36
GCF_900100325.1	BLQ65_RS11810	PF13280.6	WYL domain	94.4	2.7e-29
GCF_900100885.1	BLT19_RS05110	PF13280.6	WYL domain	91.7	1.8e-28
GCF_900100885.1	BLT19_RS13100	PF13280.6	WYL domain	86.3	8e-27
GCF_900100885.1	BLT19_RS13105	PF13280.6	WYL domain	88.0	2.5e-27
GCF_900100885.1	BLT19_RS16450	PF13280.6	WYL domain	68.4	2.6e-21
GCF_900101785.1	BLT52_RS16745	PF13280.6	WYL domain	114.0	2.6e-35
GCF_900101785.1	BLT52_RS16750	PF13280.6	WYL domain	93.7	4.4e-29
GCF_900101785.1	BLT52_RS12210	PF13280.6	WYL domain	99.5	7.4e-31
GCF_900101785.1	BLT52_RS10325	PF13280.6	WYL domain	112.9	5.5e-35
GCF_900101785.1	BLT52_RS08685	PF13280.6	WYL domain	89.7	7.4e-28
GCF_900102185.1	BLT38_RS10345	PF13280.6	WYL domain	64.6	3.9e-20
GCF_900103055.1	BLS09_RS03020	PF13280.6	WYL domain	104.1	2.8e-32
GCF_900103345.1	BLR69_RS11020	PF13280.6	WYL domain	68.1	3.2e-21
GCF_900103625.1	BLS40_RS06950	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	356.4	9e-109
GCF_900103625.1	BLS40_RS06955	PF18395.1	Cas3 C-terminal domain	92.5	7.1e-29
GCF_900103625.1	BLS40_RS06940	PF09344.10	CT1975-like protein	414.6	1.5e-126
GCF_900103625.1	BLS40_RS06935	PF09704.10	CRISPR-associated protein (Cas_Cas5)	159.3	4e-49
GCF_900103625.1	BLS40_RS06930	PF08798.11	CRISPR associated protein	201.8	5.3e-62
GCF_900103625.1	BLS40_RS06920	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	109.5	2.2e-34
GCF_900103625.1	BLS40_RS02640	PF13280.6	WYL domain	84.8	2.4e-26
GCF_900103625.1	BLS40_RS02645	PF13280.6	WYL domain	63.8	6.5e-20
GCF_900103625.1	BLS40_RS06945	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	104.1	2.9e-32
GCF_900103775.1	BLT28_RS01750	PF13280.6	WYL domain	116.1	5.6e-36
GCF_900103775.1	BLT28_RS00845	PF13280.6	WYL domain	103.4	4.6e-32
GCF_900103775.1	BLT28_RS02175	PF13280.6	WYL domain	140.8	1.5e-43
GCF_900103775.1	BLT28_RS01755	PF13280.6	WYL domain	119.9	3.9e-37
GCF_900103775.1	BLT28_RS17510	PF09344.10	CT1975-like protein	436.9	2.7e-133
GCF_900103775.1	BLT28_RS17515	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	123.6	2.8e-38
GCF_900103775.1	BLT28_RS17500	PF08798.11	CRISPR associated protein	218.2	5.3e-67
GCF_900103775.1	BLT28_RS03860	PF13280.6	WYL domain	115.7	7.7e-36
GCF_900103775.1	BLT28_RS04355	PF13280.6	WYL domain	106.9	3.8e-33
GCF_900103775.1	BLT28_RS05650	PF13280.6	WYL domain	88.5	1.7e-27
GCF_900103775.1	BLT28_RS36725	PF13280.6	WYL domain	110.6	2.8e-34
GCF_900103775.1	BLT28_RS17525	PF18395.1	Cas3 C-terminal domain	90.9	2.3e-28
GCF_900103775.1	BLT28_RS17520	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	426.9	3.7e-130
GCF_900103775.1	BLT28_RS17505	PF09704.10	CRISPR-associated protein (Cas_Cas5)	169.3	3.5e-52
GCF_900103775.1	BLT28_RS15190	PF13280.6	WYL domain	115.1	1.1e-35
GCF_900103775.1	BLT28_RS08380	PF13280.6	WYL domain	99.0	1e-30
GCF_900103775.1	BLT28_RS13485	PF13280.6	WYL domain	110.5	3e-34
GCF_900103775.1	BLT28_RS15545	PF13280.6	WYL domain	102.4	9.3e-32
GCF_900103775.1	BLT28_RS17480	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	106.6	1.7e-33
GCF_900104125.1	BLS73_RS16395	PF13280.6	WYL domain	88.1	2.4e-27
GCF_900104525.1	BLQ34_RS05130	PF13280.6	WYL domain	104.9	1.6e-32
GCF_900104525.1	BLQ34_RS05125	PF13280.6	WYL domain	111.2	1.8e-34
GCF_900104525.1	BLQ34_RS16035	PF13280.6	WYL domain	84.9	2.2e-26
GCF_900104525.1	BLQ34_RS15420	PF13280.6	WYL domain	80.1	6.5e-25
GCF_900104535.1	BLS97_RS02215	PF13280.6	WYL domain	71.4	3.1e-22
GCF_900104535.1	BLS97_RS18400	PF13280.6	WYL domain	102.0	1.2e-31
GCF_900104535.1	BLS97_RS18395	PF13280.6	WYL domain	99.5	7.2e-31
GCF_900104535.1	BLS97_RS17170	PF13280.6	WYL domain	93.2	6.1e-29
GCF_900104535.1	BLS97_RS16480	PF13280.6	WYL domain	106.1	6.6e-33
GCF_900104535.1	BLS97_RS21045	PF13280.6	WYL domain	80.1	6.7e-25
GCF_900104685.1	BLT99_RS13590	PF13280.6	WYL domain	68.7	2.1e-21
GCF_900104685.1	BLT99_RS10290	PF13280.6	WYL domain	64.6	3.7e-20
GCF_900104685.1	BLT99_RS05795	PF13280.6	WYL domain	93.1	6.8e-29
GCF_900104685.1	BLT99_RS05800	PF13280.6	WYL domain	102.0	1.2e-31
GCF_900104705.1	BLT67_RS00665	PF13280.6	WYL domain	71.1	4e-22
GCF_900104705.1	BLT67_RS00660	PF13280.6	WYL domain	90.0	5.9e-28
GCF_900104725.1	BLU81_RS28030	PF13280.6	WYL domain	99.4	7.9e-31
GCF_900104725.1	BLU81_RS06775	PF13280.6	WYL domain	128.1	1.2e-39
GCF_900104725.1	BLU81_RS06515	PF13280.6	WYL domain	110.6	2.8e-34
GCF_900104725.1	BLU81_RS01075	PF13280.6	WYL domain	105.0	1.5e-32
GCF_900104725.1	BLU81_RS01080	PF13280.6	WYL domain	103.5	4.2e-32
GCF_900104725.1	BLU81_RS06185	PF13280.6	WYL domain	153.7	1.6e-47
GCF_900104725.1	BLU81_RS42915	PF13280.6	WYL domain	91.8	1.7e-28
GCF_900104725.1	BLU81_RS42380	PF13280.6	WYL domain	99.5	7.2e-31
GCF_900104725.1	BLU81_RS34800	PF13280.6	WYL domain	96.0	8.7e-30
GCF_900104745.1	BLU27_RS16390	PF13280.6	WYL domain	123.3	3.4e-38
GCF_900104745.1	BLU27_RS12080	PF13280.6	WYL domain	92.0	1.5e-28
GCF_900104745.1	BLU27_RS09510	PF13280.6	WYL domain	103.8	3.5e-32
GCF_900104745.1	BLU27_RS05095	PF13280.6	WYL domain	114.0	2.5e-35
GCF_900104745.1	BLU27_RS02675	PF13280.6	WYL domain	141.0	1.3e-43
GCF_900104745.1	BLU27_RS22610	PF13280.6	WYL domain	101.7	1.5e-31
GCF_900104745.1	BLU27_RS26775	PF13280.6	WYL domain	96.0	8.9e-30
GCF_900104745.1	BLU27_RS19655	PF13280.6	WYL domain	112.3	8.4e-35
GCF_900104745.1	BLU27_RS22605	PF13280.6	WYL domain	124.6	1.5e-38
GCF_900104805.1	BLT78_RS03115	PF13280.6	WYL domain	101.6	1.6e-31
GCF_900104895.1	BLT62_RS10210	PF13280.6	WYL domain	75.6	1.6e-23
GCF_900104895.1	BLT62_RS06995	PF13280.6	WYL domain	91.5	2.1e-28
GCF_900104895.1	BLT62_RS10215	PF13280.6	WYL domain	98.0	2.2e-30
GCF_900104965.1	BLU55_RS04425	PF13280.6	WYL domain	110.5	2.9e-34
GCF_900104965.1	BLU55_RS18250	PF13280.6	WYL domain	118.7	9.2e-37
GCF_900104965.1	BLU55_RS16235	PF13280.6	WYL domain	75.3	2e-23
GCF_900104965.1	BLU55_RS04420	PF13280.6	WYL domain	101.5	1.8e-31
GCF_900105025.1	BLT96_RS05765	PF09344.10	CT1975-like protein	397.2	3e-121
GCF_900105025.1	BLT96_RS05755	PF08798.11	CRISPR associated protein	217.2	1.1e-66
GCF_900105025.1	BLT96_RS05760	PF09704.10	CRISPR-associated protein (Cas_Cas5)	165.7	4.5e-51
GCF_900105025.1	BLT96_RS09235	PF13280.6	WYL domain	112.2	9.3e-35
GCF_900105025.1	BLT96_RS05770	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	72.8	1.3e-22
GCF_900105025.1	BLT96_RS05775	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	347.6	4.2e-106
GCF_900105025.1	BLT96_RS05780	PF18395.1	Cas3 C-terminal domain	73.1	7.8e-23
GCF_900105025.1	BLT96_RS05745	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	112.2	3.2e-35
GCF_900105045.1	BLT92_RS07255	PF13280.6	WYL domain	81.5	2.5e-25
GCF_900105045.1	BLT92_RS13350	PF13280.6	WYL domain	68.5	2.5e-21
GCF_900105045.1	BLT92_RS14305	PF13280.6	WYL domain	108.1	1.7e-33
GCF_900105045.1	BLT92_RS18155	PF13280.6	WYL domain	83.6	5.7e-26
GCF_900105045.1	BLT92_RS19450	PF13280.6	WYL domain	79.8	8.1e-25
GCF_900105045.1	BLT92_RS19515	PF13280.6	WYL domain	92.8	8.2e-29
GCF_900105045.1	BLT92_RS01170	PF13280.6	WYL domain	108.8	1e-33
GCF_900105045.1	BLT92_RS00925	PF13280.6	WYL domain	73.3	8.3e-23
GCF_900105065.1	BLT72_RS11765	PF13280.6	WYL domain	91.5	2.1e-28
GCF_900105065.1	BLT72_RS07125	PF13280.6	WYL domain	88.4	1.8e-27
GCF_900105065.1	BLT72_RS07120	PF13280.6	WYL domain	85.8	1.2e-26
GCF_900105065.1	BLT72_RS02890	PF13280.6	WYL domain	98.5	1.5e-30
GCF_900105065.1	BLT72_RS01510	PF13280.6	WYL domain	96.7	5.4e-30
GCF_900105165.1	BLU33_RS09815	PF13280.6	WYL domain	113.3	4.1e-35
GCF_900105225.1	BLU16_RS14185	PF09827.9	CRISPR associated protein Cas2	87.5	1.6e-27
GCF_900105225.1	BLU16_RS15950	PF13280.6	WYL domain	114.8	1.5e-35
GCF_900105225.1	BLU16_RS15445	PF13280.6	WYL domain	130.4	2.4e-40
GCF_900105225.1	BLU16_RS14790	PF13280.6	WYL domain	140.7	1.6e-43
GCF_900105225.1	BLU16_RS18255	PF13280.6	WYL domain	90.2	5.4e-28
GCF_900105225.1	BLU16_RS14175	PF01930.17	Domain of unknown function DUF83	94.5	2.4e-29
GCF_900105225.1	BLU16_RS05975	PF13280.6	WYL domain	96.8	4.9e-30
GCF_900105225.1	BLU16_RS14180	PF01867.16	CRISPR associated protein Cas1	343.9	2.1e-105
GCF_900105225.1	BLU16_RS14170	PF05107.12	CRISPR-associated protein Cas7	361.3	9.4e-111
GCF_900105225.1	BLU16_RS14165	PF09709.10	CRISPR-associated protein (Cas_Csd1)	496.0	4.9e-151
GCF_900105225.1	BLU16_RS04070	PF13280.6	WYL domain	136.9	2.3e-42
